icd9,icd10,description
2718,E748,Other specified disorders of carbohydrate transport and metabolism
2718,E771,Other specified disorders of carbohydrate transport and metabolism
2719,E749,Unspecified disorder of carbohydrate transport and metabolism
2720,E7800,Pure hypercholesterolemia
2720,E7801,Pure hypercholesterolemia
2721,E781,Pure hyperglyceridemia
2722,E782,Mixed hyperlipidemia
2723,E783,Hyperchylomicronemia
2724,E784,Other and unspecified hyperlipidemia
2724,E785,Other and unspecified hyperlipidemia
2725,E786,Lipoprotein deficiencies
2726,E881,Lipodystrophy
2727,E7521,Lipidoses
2727,E7522,Lipidoses
2727,E75249,Lipidoses
2727,E770,Lipidoses
2727,E771,Lipidoses
2728,E7881,Other disorders of lipoid metabolism
2728,E7889,Other disorders of lipoid metabolism
2728,E8889,Other disorders of lipoid metabolism
2729,E789,Unspecified disorder of lipoid metabolism
2730,D890,Polyclonal hypergammaglobulinemia
2731,D472,Monoclonal paraproteinemia
2732,D891,Other paraproteinemias
2733,C880,Macroglobulinemia
2734,E8801,Alpha-1-antitrypsin deficiency
2738,E8809,Other disorders of plasma protein metabolism
2739,E8809,Unspecified disorder of plasma protein metabolism
27400,M1000,"Gouty arthropathy, unspecified"
27401,M1000,Acute gouty arthropathy
27402,M1A9XX,Chronic gouty arthropathy without mention of tophus (tophi)
27403,M1A00X,Chronic gouty arthropathy with tophus (tophi)
27403,M1A20X,Chronic gouty arthropathy with tophus (tophi)
27403,M1A30X,Chronic gouty arthropathy with tophus (tophi)
27403,M1A40X,Chronic gouty arthropathy with tophus (tophi)
27403,M1A9XX,Chronic gouty arthropathy with tophus (tophi)
27410,M1030,"Gouty nephropathy, unspecified"
27411,N200,Uric acid nephrolithiasis
27419,M1030,Other gouty nephropathy
27481,M109,Gouty tophi of ear
27482,M109,"Gouty tophi of other sites, except ear"
27489,M1040,Gout with other specified manifestations
2749,M109,"Gout, unspecified"
27501,E83110,Hereditary hemochromatosis
27502,E83111,Hemochromatosis due to repeated red blood cell transfusions
27503,E83118,Other hemochromatosis
27503,E83119,Other hemochromatosis
27509,E8310,Other disorders of iron metabolism
27509,E8319,Other disorders of iron metabolism
2751,E8300,Disorders of copper metabolism
2751,E8301,Disorders of copper metabolism
2751,E8309,Disorders of copper metabolism
2752,E8340,Disorders of magnesium metabolism
2752,E8341,Disorders of magnesium metabolism
2752,E8342,Disorders of magnesium metabolism
2752,E8349,Disorders of magnesium metabolism
2753,E8330,Disorders of phosphorus metabolism
2753,E8331,Disorders of phosphorus metabolism
2753,E8332,Disorders of phosphorus metabolism
2753,E8339,Disorders of phosphorus metabolism
27540,E8350,Unspecified disorder of calcium metabolism
27541,E8351,Hypocalcemia
27542,E8352,Hypercalcemia
27549,E201,Other disorders of calcium metabolism
27549,E8359,Other disorders of calcium metabolism
2755,E8381,Hungry bone syndrome
2758,E8389,Other specified disorders of mineral metabolism
2759,E839,Unspecified disorder of mineral metabolism
2760,E870,Hyperosmolality and/or hypernatremia
2761,E871,Hyposmolality and/or hyponatremia
2762,E872,Acidosis
2763,E873,Alkalosis
2764,E874,Mixed acid-base balance disorder
27650,E869,"Volume depletion, unspecified"
27651,E860,Dehydration
27652,E861,Hypovolemia
27661,E8771,Transfusion associated circulatory overload
27669,E8770,Other fluid overload
27669,E8779,Other fluid overload
2767,E875,Hyperpotassemia
2768,E876,Hypopotassemia
2769,E878,Electrolyte and fluid disorders not elsewhere classified
27700,E849,Cystic fibrosis without mention of meconium ileus
27701,E8411,Cystic fibrosis with meconium ileus
27702,E840,Cystic fibrosis with pulmonary manifestations
27703,E8419,Cystic fibrosis with gastrointestinal manifestations
27709,E848,Cystic fibrosis with other manifestations
2771,E800,Disorders of porphyrin metabolism
2771,E8020,Disorders of porphyrin metabolism
2771,E8029,Disorders of porphyrin metabolism
2772,E791,Other disorders of purine and pyrimidine metabolism
2772,E798,Other disorders of purine and pyrimidine metabolism
27730,E859,"Amyloidosis, unspecified"
27731,E850,Familial Mediterranean fever
27731,M041,Familial Mediterranean fever
27739,E851,Other amyloidosis
27739,E853,Other amyloidosis
27739,E8581,Other amyloidosis
27739,E8582,Other amyloidosis
27739,E8589,Other amyloidosis
2774,E804,Disorders of bilirubin excretion
2774,E805,Disorders of bilirubin excretion
2774,E806,Disorders of bilirubin excretion
2774,E807,Disorders of bilirubin excretion
2775,E7601,Mucopolysaccharidosis
2775,E7603,Mucopolysaccharidosis
2775,E761,Mucopolysaccharidosis
2775,E76219,Mucopolysaccharidosis
2775,E7622,Mucopolysaccharidosis
2775,E7629,Mucopolysaccharidosis
2775,E763,Mucopolysaccharidosis
2776,D841,Other deficiencies of circulating enzymes
2777,E8881,Dysmetabolic syndrome X
27781,E7141,Primary carnitine deficiency
27782,E7142,Carnitine deficiency due to inborn errors of metabolism
27783,E7143,Iatrogenic carnitine deficiency
27784,E71448,Other secondary carnitine deficiency
27785,E71310,Disorders of fatty acid oxidation
27785,E71311,Disorders of fatty acid oxidation
27785,E71312,Disorders of fatty acid oxidation
27785,E71313,Disorders of fatty acid oxidation
27785,E71314,Disorders of fatty acid oxidation
27785,E71318,Disorders of fatty acid oxidation
27786,E7150,Peroxisomal disorders
27786,E71510,Peroxisomal disorders
27786,E71511,Peroxisomal disorders
27786,E71522,Peroxisomal disorders
27786,E71529,Peroxisomal disorders
27786,E71548,Peroxisomal disorders
27787,E8840,Disorders of mitochondrial metabolism
27787,E8841,Disorders of mitochondrial metabolism
27787,E8842,Disorders of mitochondrial metabolism
27787,E8849,Disorders of mitochondrial metabolism
27787,H49819,Disorders of mitochondrial metabolism
27788,E883,Tumor lysis syndrome
27789,C965,Other specified disorders of metabolism
27789,C966,Other specified disorders of metabolism
27789,E7139,Other specified disorders of metabolism
27789,E803,Other specified disorders of metabolism
27789,E8889,Other specified disorders of metabolism
27789,E889,Other specified disorders of metabolism
2779,E889,Unspecified disorder of metabolism
27800,E669,"Obesity, unspecified"
27801,E6601,Morbid obesity
27802,E663,Overweight
27803,E662,Obesity hypoventilation syndrome
2781,E65,Localized adiposity
2782,E670,Hypervitaminosis A
2783,E671,Hypercarotinemia
2784,E673,Hypervitaminosis D
2788,E678,Other hyperalimentation
27900,D801,"Hypogammaglobulinemia, unspecified"
27901,D802,Selective IgA immunodeficiency
27902,D804,Selective IgM immunodeficiency
27903,D803,Other selective immunoglobulin deficiencies
27904,D800,Congenital hypogammaglobulinemia
27905,D805,Immunodeficiency with increased IgM
27906,D831,Common variable immunodeficiency
27909,D806,Other deficiency of humoral immunity
27909,D807,Other deficiency of humoral immunity
27909,D808,Other deficiency of humoral immunity
27909,D809,Other deficiency of humoral immunity
27910,D848,"Immunodeficiency with predominant T-cell defect, unspecified"
27911,D821,Digeorge's syndrome
27912,D820,Wiskott-aldrich syndrome
27913,D814,Nezelof's syndrome
27919,D848,Other deficiency of cell-mediated immunity
2792,D810,Combined immunity deficiency
2792,D811,Combined immunity deficiency
2792,D812,Combined immunity deficiency
2792,D8189,Combined immunity deficiency
2792,D819,Combined immunity deficiency
2793,D849,Unspecified immunity deficiency
27941,D8982,Autoimmune lymphoproliferative syndrome
27949,D8989,"Autoimmune disease, not elsewhere classified"
27950,D89813,"Graft-versus-host disease, unspecified"
27951,D89810,Acute graft-versus-host disease
27952,D89811,Chronic graft-versus-host disease
27953,D89812,Acute on chronic graft-versus-host disease
2798,D841,Other specified disorders involving the immune mechanism
2798,D8940,Other specified disorders involving the immune mechanism
2798,D8941,Other specified disorders involving the immune mechanism
2798,D8942,Other specified disorders involving the immune mechanism
2798,D8943,Other specified disorders involving the immune mechanism
2798,D8949,Other specified disorders involving the immune mechanism
2798,D8989,Other specified disorders involving the immune mechanism
2798,M359,Other specified disorders involving the immune mechanism
2799,D899,Unspecified disorder of immune mechanism
2800,D500,Iron deficiency anemia secondary to blood loss (chronic)
2801,D508,Iron deficiency anemia secondary to inadequate dietary iron intake
2808,D501,Other specified iron deficiency anemias
2808,D508,Other specified iron deficiency anemias
2809,D509,"Iron deficiency anemia, unspecified"
2810,D510,Pernicious anemia
2811,D511,Other vitamin B12 deficiency anemia
2811,D513,Other vitamin B12 deficiency anemia
2811,D518,Other vitamin B12 deficiency anemia
2812,D520,Folate-deficiency anemia
2812,D521,Folate-deficiency anemia
2812,D528,Folate-deficiency anemia
2812,D529,Folate-deficiency anemia
2813,D531,Other specified megaloblastic anemias not elsewhere classified
2814,D530,Protein-deficiency anemia
2818,D532,Anemia associated with other specified nutritional deficiency
2818,D538,Anemia associated with other specified nutritional deficiency
2819,D539,Unspecified deficiency anemia
2820,D580,Hereditary spherocytosis
2821,D581,Hereditary elliptocytosis
2822,D550,Anemias due to disorders of glutathione metabolism
2822,D551,Anemias due to disorders of glutathione metabolism
2823,D558,Other hemolytic anemias due to enzyme deficiency
28240,D569,"Thalassemia, unspecified"
28241,D5740,Sickle-cell thalassemia without crisis
28242,D57419,Sickle-cell thalassemia with crisis
28243,D560,Alpha thalassemia
28244,D561,Beta thalassemia
28245,D562,Delta-beta thalassemia
28246,D563,Thalassemia minor
28247,D565,Hemoglobin E-beta thalassemia
28249,D568,Other thalassemia
2825,D573,Sickle-cell trait
28260,D571,"Sickle-cell disease, unspecified"
28261,D571,Hb-SS disease without crisis
28262,D5700,Hb-SS disease with crisis
28263,D5720,Sickle-cell/Hb-C disease without crisis
28264,D57219,Sickle-cell/Hb-C disease with crisis
28268,D5780,Other sickle-cell disease without crisis
28269,D57819,Other sickle-cell disease with crisis
2827,D564,Other hemoglobinopathies
2827,D582,Other hemoglobinopathies
2828,D588,Other specified hereditary hemolytic anemias
2829,D589,"Hereditary hemolytic anemia, unspecified"
2830,D590,Autoimmune hemolytic anemias
2830,D591,Autoimmune hemolytic anemias
28310,D594,"Non-autoimmune hemolytic anemia, unspecified"
28311,D593,Hemolytic-uremic syndrome
28319,D594,Other non-autoimmune hemolytic anemias
2832,D595,Hemoglobinuria due to hemolysis from external causes
2832,D596,Hemoglobinuria due to hemolysis from external causes
2832,D598,Hemoglobinuria due to hemolysis from external causes
2839,D599,"Acquired hemolytic anemia, unspecified"
28401,D6101,Constitutional red blood cell aplasia
28409,D6109,Other constitutional aplastic anemia
28411,D61810,Antineoplastic chemotherapy induced pancytopenia
28412,D61811,Other drug-induced pancytopenia
28419,D61818,Other pancytopenia
2842,D6182,Myelophthisis
28481,D600,Red cell aplasia (acquired)(adult)(with thymoma)
28481,D601,Red cell aplasia (acquired)(adult)(with thymoma)
28481,D608,Red cell aplasia (acquired)(adult)(with thymoma)
28481,D609,Red cell aplasia (acquired)(adult)(with thymoma)
28489,D611,Other specified aplastic anemias
28489,D612,Other specified aplastic anemias
28489,D6189,Other specified aplastic anemias
2849,D619,"Aplastic anemia, unspecified"
2850,D640,Sideroblastic anemia
2850,D641,Sideroblastic anemia
2850,D642,Sideroblastic anemia
2850,D643,Sideroblastic anemia
2851,D62,Acute posthemorrhagic anemia
28521,D631,Anemia in chronic kidney disease
28522,D630,Anemia in neoplastic disease
28529,D638,Anemia of other chronic disease
2853,D6481,Antineoplastic chemotherapy induced anemia
2858,D644,Other specified anemias
2858,D6489,Other specified anemias
2859,D649,"Anemia, unspecified"
2860,D66,Congenital factor VIII disorder
2861,D67,Congenital factor IX disorder
2862,D681,Congenital factor XI deficiency
2863,D682,Congenital deficiency of other clotting factors
2864,D680,Von Willebrand's disease
28652,D68311,Acquired hemophilia
28653,D68312,Antiphospholipid antibody with hemorrhagic disorder
28659,D68318,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
2866,D65,Defibrination syndrome
2867,D6832,Acquired coagulation factor deficiency
2867,D684,Acquired coagulation factor deficiency
2869,D688,Other and unspecified coagulation defects
2869,D689,Other and unspecified coagulation defects
2870,D690,Allergic purpura
2871,D691,Qualitative platelet defects
2872,D692,Other nonthrombocytopenic purpuras
28730,D6949,"Primary thrombocytopenia,unspecified"
28731,D693,Immune thrombocytopenic purpura
28732,D6941,Evans' syndrome
28733,D6942,Congenital and hereditary thrombocytopenic purpura
28739,D693,Other primary thrombocytopenia
28739,D6949,Other primary thrombocytopenia
28741,D6951,Posttransfusion purpura
28749,D6959,Other secondary thrombocytopenia
2875,D696,"Thrombocytopenia, unspecified"
2878,D698,Other specified hemorrhagic conditions
2879,D699,Unspecified hemorrhagic conditions
28800,D709,"Neutropenia, unspecified"
28801,D700,Congenital neutropenia
28802,D704,Cyclic neutropenia
28803,D701,Drug induced neutropenia
28803,D702,Drug induced neutropenia
28804,D703,Neutropenia due to infection
28809,D708,Other neutropenia
2881,D71,Functional disorders of polymorphonuclear neutrophils
2882,D720,Genetic anomalies of leukocytes
2883,D721,Eosinophilia
2884,D761,Hemophagocytic syndromes
2884,D762,Hemophagocytic syndromes
2884,D763,Hemophagocytic syndromes
28850,D72819,"Leukocytopenia, unspecified"
28851,D72810,Lymphocytopenia
28859,D72818,Other decreased white blood cell count
28860,D72829,"Leukocytosis, unspecified"
28861,D72820,Lymphocytosis (symptomatic)
28862,D72823,Leukemoid reaction
28863,D72821,Monocytosis (symptomatic)
28864,D72822,Plasmacytosis
28865,D72824,Basophilia
28866,D72825,Bandemia
28869,D72828,Other elevated white blood cell count
2888,D7289,Other specified disease of white blood cells
2889,D729,Unspecified disease of white blood cells
2890,D751,"Polycythemia, secondary"
2891,I881,Chronic lymphadenitis
2892,I880,Nonspecific mesenteric lymphadenitis
2893,I889,"Lymphadenitis, unspecified, except mesenteric"
2894,D731,Hypersplenism
28950,D739,"Disease of spleen, unspecified"
28951,D732,Chronic congestive splenomegaly
28952,D5702,Splenic sequestration
28952,D57212,Splenic sequestration
28952,D57412,Splenic sequestration
28953,D7381,Neutropenic splenomegaly
28959,D733,Other diseases of spleen
28959,D734,Other diseases of spleen
28959,D735,Other diseases of spleen
28959,D7389,Other diseases of spleen
2896,D750,Familial polycythemia
2897,D740,Methemoglobinemia
2897,D748,Methemoglobinemia
2897,D749,Methemoglobinemia
28981,D6851,Primary hypercoagulable state
28981,D6852,Primary hypercoagulable state
28981,D6859,Primary hypercoagulable state
28981,D6861,Primary hypercoagulable state
28981,D6862,Primary hypercoagulable state
28982,D6869,Secondary hypercoagulable state
28983,D7581,Myelofibrosis
28984,D7582,Heparin-induced thrombocytopenia (HIT)
28989,D474,Other specified diseases of blood and blood-forming organs
28989,D7589,Other specified diseases of blood and blood-forming organs
28989,D892,Other specified diseases of blood and blood-forming organs
2899,D759,Unspecified diseases of blood and blood-forming organs
2900,F0390,"Senile dementia, uncomplicated"
29010,F0390,"Presenile dementia, uncomplicated"
29011,F0390,Presenile dementia with delirium
29012,F0390,Presenile dementia with delusional features
29012,F05,Presenile dementia with delusional features
29013,F0390,Presenile dementia with depressive features
29020,F0390,Senile dementia with delusional features
29020,F05,Senile dementia with delusional features
29021,F0390,Senile dementia with depressive features
2903,F0390,Senile dementia with delirium
2903,F05,Senile dementia with delirium
29040,F0150,"Vascular dementia, uncomplicated"
29041,F0151,"Vascular dementia, with delirium"
29042,F0151,"Vascular dementia, with delusions"
29043,F0151,"Vascular dementia, with depressed mood"
2908,F0390,Other specified senile psychotic conditions
2909,F0390,Unspecified senile psychotic condition
2910,F10231,Alcohol withdrawal delirium
2911,F1096,Alcohol-induced persisting amnestic disorder
2912,F1027,Alcohol-induced persisting dementia
2913,F10951,Alcohol-induced psychotic disorder with hallucinations
2914,F10929,Idiosyncratic alcohol intoxication
2915,F10950,Alcohol-induced psychotic disorder with delusions
29181,F10239,Alcohol withdrawal
29182,F10182,Alcohol induced sleep disorders
29182,F10282,Alcohol induced sleep disorders
29182,F10982,Alcohol induced sleep disorders
29189,F10159,Other alcohol-induced mental disorders
29189,F10180,Other alcohol-induced mental disorders
29189,F10181,Other alcohol-induced mental disorders
29189,F10188,Other alcohol-induced mental disorders
29189,F10259,Other alcohol-induced mental disorders
29189,F10280,Other alcohol-induced mental disorders
29189,F10281,Other alcohol-induced mental disorders
29189,F10288,Other alcohol-induced mental disorders
29189,F10959,Other alcohol-induced mental disorders
29189,F10980,Other alcohol-induced mental disorders
2919,F1099,Unspecified alcohol-induced mental disorders
2920,F19939,Drug withdrawal
29211,F19950,Drug-induced psychotic disorder with delusions
29212,F19951,Drug-induced psychotic disorder with hallucinations
2922,F15920,Pathological drug intoxication
29281,F19921,Drug-induced delirium
29282,F1997,Drug-induced persisting dementia
29283,F1996,Drug-induced persisting amnestic disorder
29284,F1994,Drug-induced mood disorder
29285,F11182,Drug induced sleep disorders
29285,F11282,Drug induced sleep disorders
29285,F11982,Drug induced sleep disorders
29285,F13182,Drug induced sleep disorders
29285,F13282,Drug induced sleep disorders
29285,F13982,Drug induced sleep disorders
29285,F14182,Drug induced sleep disorders
29285,F14282,Drug induced sleep disorders
29285,F14982,Drug induced sleep disorders
29285,F15182,Drug induced sleep disorders
29285,F15282,Drug induced sleep disorders
29285,F15982,Drug induced sleep disorders
29285,F19182,Drug induced sleep disorders
29285,F19282,Drug induced sleep disorders
29285,F19982,Drug induced sleep disorders
29289,F11159,Other specified drug-induced mental disorders
29289,F11181,Other specified drug-induced mental disorders
29289,F11188,Other specified drug-induced mental disorders
29289,F11222,Other specified drug-induced mental disorders
29289,F11259,Other specified drug-induced mental disorders
29289,F11281,Other specified drug-induced mental disorders
29289,F11288,Other specified drug-induced mental disorders
29289,F11922,Other specified drug-induced mental disorders
29289,F11959,Other specified drug-induced mental disorders
29289,F11981,Other specified drug-induced mental disorders
29289,F11988,Other specified drug-induced mental disorders
29289,F12122,Other specified drug-induced mental disorders
29289,F12159,Other specified drug-induced mental disorders
29289,F12180,Other specified drug-induced mental disorders
29289,F12188,Other specified drug-induced mental disorders
29289,F12222,Other specified drug-induced mental disorders
29289,F12259,Other specified drug-induced mental disorders
29289,F12280,Other specified drug-induced mental disorders
29289,F12288,Other specified drug-induced mental disorders
29289,F12922,Other specified drug-induced mental disorders
29289,F12959,Other specified drug-induced mental disorders
29289,F12980,Other specified drug-induced mental disorders
29289,F12988,Other specified drug-induced mental disorders
29289,F13159,Other specified drug-induced mental disorders
29289,F13180,Other specified drug-induced mental disorders
29289,F13181,Other specified drug-induced mental disorders
29289,F13188,Other specified drug-induced mental disorders
29289,F13259,Other specified drug-induced mental disorders
29289,F13280,Other specified drug-induced mental disorders
29289,F13281,Other specified drug-induced mental disorders
29289,F13288,Other specified drug-induced mental disorders
29289,F13959,Other specified drug-induced mental disorders
29289,F13980,Other specified drug-induced mental disorders
29289,F13981,Other specified drug-induced mental disorders
29289,F13988,Other specified drug-induced mental disorders
29289,F14122,Other specified drug-induced mental disorders
29289,F14159,Other specified drug-induced mental disorders
29289,F14180,Other specified drug-induced mental disorders
29289,F14181,Other specified drug-induced mental disorders
29289,F14188,Other specified drug-induced mental disorders
29289,F14222,Other specified drug-induced mental disorders
29289,F14259,Other specified drug-induced mental disorders
29289,F14280,Other specified drug-induced mental disorders
29289,F14281,Other specified drug-induced mental disorders
29289,F14288,Other specified drug-induced mental disorders
29289,F14922,Other specified drug-induced mental disorders
29289,F14959,Other specified drug-induced mental disorders
29289,F14980,Other specified drug-induced mental disorders
29289,F14981,Other specified drug-induced mental disorders
29289,F14988,Other specified drug-induced mental disorders
29289,F15122,Other specified drug-induced mental disorders
29289,F15159,Other specified drug-induced mental disorders
29289,F15180,Other specified drug-induced mental disorders
29289,F15181,Other specified drug-induced mental disorders
29289,F15188,Other specified drug-induced mental disorders
29289,F15222,Other specified drug-induced mental disorders
29289,F15259,Other specified drug-induced mental disorders
29289,F15280,Other specified drug-induced mental disorders
29289,F15281,Other specified drug-induced mental disorders
29289,F15288,Other specified drug-induced mental disorders
29289,F15922,Other specified drug-induced mental disorders
29289,F15959,Other specified drug-induced mental disorders
29289,F15980,Other specified drug-induced mental disorders
29289,F15981,Other specified drug-induced mental disorders
29289,F15988,Other specified drug-induced mental disorders
29289,F16122,Other specified drug-induced mental disorders
29289,F16159,Other specified drug-induced mental disorders
29289,F16180,Other specified drug-induced mental disorders
29289,F16183,Other specified drug-induced mental disorders
29289,F16188,Other specified drug-induced mental disorders
29289,F16259,Other specified drug-induced mental disorders
29289,F16280,Other specified drug-induced mental disorders
29289,F16283,Other specified drug-induced mental disorders
29289,F16288,Other specified drug-induced mental disorders
29289,F16959,Other specified drug-induced mental disorders
29289,F16980,Other specified drug-induced mental disorders
29289,F16983,Other specified drug-induced mental disorders
29289,F16988,Other specified drug-induced mental disorders
29289,F17208,Other specified drug-induced mental disorders
29289,F17218,Other specified drug-induced mental disorders
29289,F17228,Other specified drug-induced mental disorders
29289,F17298,Other specified drug-induced mental disorders
29289,F18159,Other specified drug-induced mental disorders
29289,F18180,Other specified drug-induced mental disorders
29289,F18188,Other specified drug-induced mental disorders
29289,F18259,Other specified drug-induced mental disorders
29289,F18280,Other specified drug-induced mental disorders
29289,F18288,Other specified drug-induced mental disorders
29289,F18959,Other specified drug-induced mental disorders
29289,F18980,Other specified drug-induced mental disorders
29289,F18988,Other specified drug-induced mental disorders
29289,F19122,Other specified drug-induced mental disorders
29289,F19159,Other specified drug-induced mental disorders
29289,F19180,Other specified drug-induced mental disorders
29289,F19181,Other specified drug-induced mental disorders
29289,F19188,Other specified drug-induced mental disorders
29289,F19222,Other specified drug-induced mental disorders
29289,F19259,Other specified drug-induced mental disorders
29289,F19280,Other specified drug-induced mental disorders
29289,F19281,Other specified drug-induced mental disorders
29289,F19288,Other specified drug-induced mental disorders
29289,F19922,Other specified drug-induced mental disorders
29289,F19959,Other specified drug-induced mental disorders
29289,F19980,Other specified drug-induced mental disorders
29289,F19981,Other specified drug-induced mental disorders
29289,F19988,Other specified drug-induced mental disorders
2929,F1999,Unspecified drug-induced mental disorder
2930,F05,Delirium due to conditions classified elsewhere
2931,F05,Subacute delirium
29381,F062,Psychotic disorder with delusions in conditions classified elsewhere
29382,F060,Psychotic disorder with hallucinations in conditions classified elsewhere
29383,F0630,Mood disorder in conditions classified elsewhere
29384,F064,Anxiety disorder in conditions classified elsewhere
29389,F061,"Other specified transient mental disorders due to conditions classified elsewhere, other"
29389,F53,"Other specified transient mental disorders due to conditions classified elsewhere, other"
2939,F068,Unspecified transient mental disorder in conditions classified elsewhere
2940,F04,Amnestic disorder in conditions classified elsewhere
29410,F0280,Dementia in conditions classified elsewhere without behavioral disturbance
29411,F0281,Dementia in conditions classified elsewhere with behavioral disturbance
29420,F0390,"Dementia, unspecified, without behavioral disturbance"
29421,F0391,"Dementia, unspecified, with behavioral disturbance"
2948,F060,Other persistent mental disorders due to conditions classified elsewhere
2948,F068,Other persistent mental disorders due to conditions classified elsewhere
2949,F068,Unspecified persistent mental disorders due to conditions classified elsewhere
29500,F2089,"Simple type schizophrenia, unspecified"
29501,F2089,"Simple type schizophrenia, subchronic"
29502,F2089,"Simple type schizophrenia, chronic"
29503,F2089,"Simple type schizophrenia, subchronic with acute exacerbation"
29504,F2089,"Simple type schizophrenia, chronic with acute exacerbation"
29505,F2089,"Simple type schizophrenia, in remission"
29510,F201,"Disorganized type schizophrenia, unspecified"
29511,F201,"Disorganized type schizophrenia, subchronic"
29512,F201,"Disorganized type schizophrenia, chronic"
29513,F201,"Disorganized type schizophrenia, subchronic with acute exacerbation"
29514,F201,"Disorganized type schizophrenia, chronic with acute exacerbation"
29515,F201,"Disorganized type schizophrenia, in remission"
29520,F202,"Catatonic type schizophrenia, unspecified"
29521,F202,"Catatonic type schizophrenia, subchronic"
29522,F202,"Catatonic type schizophrenia, chronic"
29523,F202,"Catatonic type schizophrenia, subchronic with acute exacerbation"
29524,F202,"Catatonic type schizophrenia, chronic with acute exacerbation"
29525,F202,"Catatonic type schizophrenia, in remission"
29530,F200,"Paranoid type schizophrenia, unspecified"
29531,F200,"Paranoid type schizophrenia, subchronic"
29532,F200,"Paranoid type schizophrenia, chronic"
29533,F200,"Paranoid type schizophrenia, subchronic with acute exacerbation"
29534,F200,"Paranoid type schizophrenia, chronic with acute exacerbation"
29535,F200,"Paranoid type schizophrenia, in remission"
29540,F2081,"Schizophreniform disorder, unspecified"
29541,F2081,"Schizophreniform disorder, subchronic"
29542,F2081,"Schizophreniform disorder, chronic"
29543,F2081,"Schizophreniform disorder, subchronic with acute exacerbation"
29544,F2081,"Schizophreniform disorder, chronic with acute exacerbation"
29545,F2081,"Schizophreniform disorder, in remission"
29550,F2089,"Latent schizophrenia, unspecified"
29551,F2089,"Latent schizophrenia, subchronic"
29552,F2089,"Latent schizophrenia, chronic"
29553,F2089,"Latent schizophrenia, subchronic with acute exacerbation"
29554,F2089,"Latent schizophrenia, chronic with acute exacerbation"
29555,F2089,"Latent schizophrenia, in remission"
29560,F205,"Schizophrenic disorders, residual type, unspecified"
29561,F205,"Schizophrenic disorders, residual type, subchronic"
29562,F205,"Schizophrenic disorders, residual type, chronic"
29563,F205,"Schizophrenic disorders, residual type, subchronic with acute exacerbation"
29564,F205,"Schizophrenic disorders, residual type, chronic with acute exacerbation"
29565,F205,"Schizophrenic disorders, residual type, in remission"
29570,F259,"Schizoaffective disorder, unspecified"
29571,F259,"Schizoaffective disorder, subchronic"
29572,F259,"Schizoaffective disorder, chronic"
29573,F259,"Schizoaffective disorder, subchronic with acute exacerbation"
29574,F259,"Schizoaffective disorder, chronic with acute exacerbation"
29575,F259,"Schizoaffective disorder, in remission"
29580,F2089,"Other specified types of schizophrenia, unspecified"
29581,F2089,"Other specified types of schizophrenia, subchronic"
29582,F2089,"Other specified types of schizophrenia, chronic"
29583,F2089,"Other specified types of schizophrenia, subchronic with acute exacerbation"
29584,F2089,"Other specified types of schizophrenia, chronic with acute exacerbation"
29585,F2089,"Other specified types of schizophrenia, in remission"
29590,F209,"Unspecified schizophrenia, unspecified"
29591,F209,"Unspecified schizophrenia, subchronic"
29592,F209,"Unspecified schizophrenia, chronic"
29593,F209,"Unspecified schizophrenia, subchronic with acute exacerbation"
29594,F209,"Unspecified schizophrenia, chronic with acute exacerbation"
29595,F209,"Unspecified schizophrenia, in remission"
29600,F3010,"Bipolar I disorder, single manic episode, unspecified"
29601,F3011,"Bipolar I disorder, single manic episode, mild"
29602,F3012,"Bipolar I disorder, single manic episode, moderate"
29603,F3013,"Bipolar I disorder, single manic episode, severe, without mention of psychotic behavior"
29604,F302,"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior"
29605,F303,"Bipolar I disorder, single manic episode, in partial or unspecified remission"
29606,F304,"Bipolar I disorder, single manic episode, in full remission"
29610,F3010,"Manic affective disorder, recurrent episode, unspecified"
29611,F3011,"Manic affective disorder, recurrent episode, mild"
29612,F3012,"Manic affective disorder, recurrent episode, moderate"
29613,F3013,"Manic affective disorder, recurrent episode, severe, without mention of psychotic behavior"
29614,F302,"Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior"
29615,F303,"Manic affective disorder, recurrent episode, in partial or unspecified remission"
29616,F304,"Manic affective disorder, recurrent episode, in full remission"
29620,F329,"Major depressive affective disorder, single episode, unspecified"
29621,F320,"Major depressive affective disorder, single episode, mild"
29622,F321,"Major depressive affective disorder, single episode, moderate"
29623,F322,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior"
29624,F323,"Major depressive affective disorder, single episode, severe, specified as with psychotic behavior"
29625,F324,"Major depressive affective disorder, single episode, in partial or unspecified remission"
29626,F325,"Major depressive affective disorder, single episode, in full remission"
29630,F339,"Major depressive affective disorder, recurrent episode, unspecified"
29631,F330,"Major depressive affective disorder, recurrent episode, mild"
29632,F331,"Major depressive affective disorder, recurrent episode, moderate"
29633,F332,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
29634,F333,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior"
29635,F3341,"Major depressive affective disorder, recurrent episode, in partial or unspecified remission"
29636,F3342,"Major depressive affective disorder, recurrent episode, in full remission"
