00001 001     0 Central Nervous System and Cranial Nerves, Bypass            Central Nervous System and Cranial Nerves, Bypass
59629 0T184J7 1 Bypass Bi Ureter to L Ureter w Synth Sub, Perc Endo          Bypass Bilateral Ureters to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach
59630 0T184J8 1 Bypass Bi Ureter to Colon with Synth Sub, Perc Endo Approach Bypass Bilateral Ureters to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach
59631 0T184J9 1 Bypass Bi Ureter to Colocutan w Synth Sub, Perc Endo         Bypass Bilateral Ureters to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
59632 0T184JA 1 Bypass Bi Ureter to Ileum with Synth Sub, Perc Endo Approach Bypass Bilateral Ureters to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach
59633 0T184JB 1 Bypass Bi Ureter to Bladder w Synth Sub, Perc Endo           Bypass Bilateral Ureters to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach
59634 0T184JC 1 Bypass Bi Ureter to Ileocutan w Synth Sub, Perc Endo         Bypass Bilateral Ureters to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
59635 0T184JD 1 Bypass Bi Ureter to Cutan with Synth Sub, Perc Endo Approach Bypass Bilateral Ureters to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
59636 0T184K6 1 Bypass Bi Ureter to R Ureter w Nonaut Sub, Perc Endo         Bypass Bilateral Ureters to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59637 0T184K7 1 Bypass Bi Ureter to L Ureter w Nonaut Sub, Perc Endo         Bypass Bilateral Ureters to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59638 0T184K8 1 Bypass Bi Ureter to Colon w Nonaut Sub, Perc Endo            Bypass Bilateral Ureters to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59639 0T184K9 1 Bypass Bi Ureter to Colocutan w Nonaut Sub, Perc Endo        Bypass Bilateral Ureters to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59640 0T184KA 1 Bypass Bi Ureter to Ileum w Nonaut Sub, Perc Endo            Bypass Bilateral Ureters to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59641 0T184KB 1 Bypass Bi Ureter to Bladder w Nonaut Sub, Perc Endo          Bypass Bilateral Ureters to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59642 0T184KC 1 Bypass Bi Ureter to Ileocutan w Nonaut Sub, Perc Endo        Bypass Bilateral Ureters to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59643 0T184KD 1 Bypass Bi Ureter to Cutan w Nonaut Sub, Perc Endo            Bypass Bilateral Ureters to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59644 0T184Z6 1 Bypass Bilateral Ureters to Right Ureter, Perc Endo Approach Bypass Bilateral Ureters to Right Ureter, Percutaneous Endoscopic Approach
59645 0T184Z7 1 Bypass Bilateral Ureters to Left Ureter, Perc Endo Approach  Bypass Bilateral Ureters to Left Ureter, Percutaneous Endoscopic Approach
59646 0T184Z8 1 Bypass Bilateral Ureters to Colon, Perc Endo Approach        Bypass Bilateral Ureters to Colon, Percutaneous Endoscopic Approach
59647 0T184Z9 1 Bypass Bilateral Ureters to Colocutan, Perc Endo Approach    Bypass Bilateral Ureters to Colocutaneous, Percutaneous Endoscopic Approach
59648 0T184ZA 1 Bypass Bilateral Ureters to Ileum, Perc Endo Approach        Bypass Bilateral Ureters to Ileum, Percutaneous Endoscopic Approach
59649 0T184ZB 1 Bypass Bilateral Ureters to Bladder, Perc Endo Approach      Bypass Bilateral Ureters to Bladder, Percutaneous Endoscopic Approach
59650 0T184ZC 1 Bypass Bilateral Ureters to Ileocutan, Perc Endo Approach    Bypass Bilateral Ureters to Ileocutaneous, Percutaneous Endoscopic Approach
59651 0T184ZD 1 Bypass Bilateral Ureters to Cutaneous, Perc Endo Approach    Bypass Bilateral Ureters to Cutaneous, Percutaneous Endoscopic Approach
59652 0T1B079 1 Bypass Bladder to Colocutan with Autol Sub, Open Approach    Bypass Bladder to Colocutaneous with Autologous Tissue Substitute, Open Approach
59653 0T1B07C 1 Bypass Bladder to Ileocutan with Autol Sub, Open Approach    Bypass Bladder to Ileocutaneous with Autologous Tissue Substitute, Open Approach
59654 0T1B07D 1 Bypass Bladder to Cutaneous with Autol Sub, Open Approach    Bypass Bladder to Cutaneous with Autologous Tissue Substitute, Open Approach
59655 0T1B0J9 1 Bypass Bladder to Colocutan with Synth Sub, Open Approach    Bypass Bladder to Colocutaneous with Synthetic Substitute, Open Approach
59656 0T1B0JC 1 Bypass Bladder to Ileocutan with Synth Sub, Open Approach    Bypass Bladder to Ileocutaneous with Synthetic Substitute, Open Approach
59657 0T1B0JD 1 Bypass Bladder to Cutaneous with Synth Sub, Open Approach    Bypass Bladder to Cutaneous with Synthetic Substitute, Open Approach
59658 0T1B0K9 1 Bypass Bladder to Colocutan with Nonaut Sub, Open Approach   Bypass Bladder to Colocutaneous with Nonautologous Tissue Substitute, Open Approach
59659 0T1B0KC 1 Bypass Bladder to Ileocutan with Nonaut Sub, Open Approach   Bypass Bladder to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach
59660 0T1B0KD 1 Bypass Bladder to Cutaneous with Nonaut Sub, Open Approach   Bypass Bladder to Cutaneous with Nonautologous Tissue Substitute, Open Approach
59661 0T1B0Z9 1 Bypass Bladder to Colocutaneous, Open Approach               Bypass Bladder to Colocutaneous, Open Approach
59662 0T1B0ZC 1 Bypass Bladder to Ileocutaneous, Open Approach               Bypass Bladder to Ileocutaneous, Open Approach
59663 0T1B0ZD 1 Bypass Bladder to Cutaneous, Open Approach                   Bypass Bladder to Cutaneous, Open Approach
59664 0T1B3JD 1 Bypass Bladder to Cutaneous with Synth Sub, Perc Approach    Bypass Bladder to Cutaneous with Synthetic Substitute, Percutaneous Approach
59665 0T1B479 1 Bypass Bladder to Colocutan w Autol Sub, Perc Endo           Bypass Bladder to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
59666 0T1B47C 1 Bypass Bladder to Ileocutan w Autol Sub, Perc Endo           Bypass Bladder to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
59667 0T1B47D 1 Bypass Bladder to Cutan with Autol Sub, Perc Endo Approach   Bypass Bladder to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
59668 0T1B4J9 1 Bypass Bladder to Colocutan w Synth Sub, Perc Endo           Bypass Bladder to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
59669 0T1B4JC 1 Bypass Bladder to Ileocutan w Synth Sub, Perc Endo           Bypass Bladder to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
59670 0T1B4JD 1 Bypass Bladder to Cutan with Synth Sub, Perc Endo Approach   Bypass Bladder to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
59671 0T1B4K9 1 Bypass Bladder to Colocutan w Nonaut Sub, Perc Endo          Bypass Bladder to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59672 0T1B4KC 1 Bypass Bladder to Ileocutan w Nonaut Sub, Perc Endo          Bypass Bladder to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59673 0T1B4KD 1 Bypass Bladder to Cutan with Nonaut Sub, Perc Endo Approach  Bypass Bladder to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
59674 0T1B4Z9 1 Bypass Bladder to Colocutaneous, Perc Endo Approach          Bypass Bladder to Colocutaneous, Percutaneous Endoscopic Approach
59675 0T1B4ZC 1 Bypass Bladder to Ileocutaneous, Perc Endo Approach          Bypass Bladder to Ileocutaneous, Percutaneous Endoscopic Approach
59676 0T1B4ZD 1 Bypass Bladder to Cutaneous, Perc Endo Approach              Bypass Bladder to Cutaneous, Percutaneous Endoscopic Approach
59677 0T2     0 Urinary System, Change                                       Urinary System, Change
59678 0T25X0Z 1 Change Drainage Device in Kidney, External Approach          Change Drainage Device in Kidney, External Approach
59679 0T25XYZ 1 Change Other Device in Kidney, External Approach             Change Other Device in Kidney, External Approach
59680 0T29X0Z 1 Change Drainage Device in Ureter, External Approach          Change Drainage Device in Ureter, External Approach
59681 0T29XYZ 1 Change Other Device in Ureter, External Approach             Change Other Device in Ureter, External Approach
59682 0T2BX0Z 1 Change Drainage Device in Bladder, External Approach         Change Drainage Device in Bladder, External Approach
59683 0T2BXYZ 1 Change Other Device in Bladder, External Approach            Change Other Device in Bladder, External Approach
59684 0T2DX0Z 1 Change Drainage Device in Urethra, External Approach         Change Drainage Device in Urethra, External Approach
59685 0T2DXYZ 1 Change Other Device in Urethra, External Approach            Change Other Device in Urethra, External Approach
59686 0T5     0 Urinary System, Destruction                                  Urinary System, Destruction
59687 0T500ZZ 1 Destruction of Right Kidney, Open Approach                   Destruction of Right Kidney, Open Approach
59688 0T503ZZ 1 Destruction of Right Kidney, Percutaneous Approach           Destruction of Right Kidney, Percutaneous Approach
59689 0T504ZZ 1 Destruction of Right Kidney, Perc Endo Approach              Destruction of Right Kidney, Percutaneous Endoscopic Approach
59690 0T507ZZ 1 Destruction of Right Kidney, Via Opening                     Destruction of Right Kidney, Via Natural or Artificial Opening
59691 0T508ZZ 1 Destruction of Right Kidney, Endo                            Destruction of Right Kidney, Via Natural or Artificial Opening Endoscopic
59692 0T510ZZ 1 Destruction of Left Kidney, Open Approach                    Destruction of Left Kidney, Open Approach
59693 0T513ZZ 1 Destruction of Left Kidney, Percutaneous Approach            Destruction of Left Kidney, Percutaneous Approach
59694 0T514ZZ 1 Destruction of Left Kidney, Percutaneous Endoscopic Approach Destruction of Left Kidney, Percutaneous Endoscopic Approach
59695 0T517ZZ 1 Destruction of Left Kidney, Via Opening                      Destruction of Left Kidney, Via Natural or Artificial Opening
59696 0T518ZZ 1 Destruction of Left Kidney, Endo                             Destruction of Left Kidney, Via Natural or Artificial Opening Endoscopic
59697 0T530ZZ 1 Destruction of Right Kidney Pelvis, Open Approach            Destruction of Right Kidney Pelvis, Open Approach
59698 0T533ZZ 1 Destruction of Right Kidney Pelvis, Percutaneous Approach    Destruction of Right Kidney Pelvis, Percutaneous Approach
59699 0T534ZZ 1 Destruction of Right Kidney Pelvis, Perc Endo Approach       Destruction of Right Kidney Pelvis, Percutaneous Endoscopic Approach
59700 0T537ZZ 1 Destruction of Right Kidney Pelvis, Via Opening              Destruction of Right Kidney Pelvis, Via Natural or Artificial Opening
59701 0T538ZZ 1 Destruction of Right Kidney Pelvis, Endo                     Destruction of Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic
59702 0T540ZZ 1 Destruction of Left Kidney Pelvis, Open Approach             Destruction of Left Kidney Pelvis, Open Approach
59703 0T543ZZ 1 Destruction of Left Kidney Pelvis, Percutaneous Approach     Destruction of Left Kidney Pelvis, Percutaneous Approach
59704 0T544ZZ 1 Destruction of Left Kidney Pelvis, Perc Endo Approach        Destruction of Left Kidney Pelvis, Percutaneous Endoscopic Approach
59705 0T547ZZ 1 Destruction of Left Kidney Pelvis, Via Opening               Destruction of Left Kidney Pelvis, Via Natural or Artificial Opening
59706 0T548ZZ 1 Destruction of Left Kidney Pelvis, Endo                      Destruction of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic
59707 0T560ZZ 1 Destruction of Right Ureter, Open Approach                   Destruction of Right Ureter, Open Approach
59708 0T563ZZ 1 Destruction of Right Ureter, Percutaneous Approach           Destruction of Right Ureter, Percutaneous Approach
59709 0T564ZZ 1 Destruction of Right Ureter, Perc Endo Approach              Destruction of Right Ureter, Percutaneous Endoscopic Approach
59710 0T567ZZ 1 Destruction of Right Ureter, Via Opening                     Destruction of Right Ureter, Via Natural or Artificial Opening
59711 0T568ZZ 1 Destruction of Right Ureter, Endo                            Destruction of Right Ureter, Via Natural or Artificial Opening Endoscopic
59712 0T570ZZ 1 Destruction of Left Ureter, Open Approach                    Destruction of Left Ureter, Open Approach
59713 0T573ZZ 1 Destruction of Left Ureter, Percutaneous Approach            Destruction of Left Ureter, Percutaneous Approach
59714 0T574ZZ 1 Destruction of Left Ureter, Percutaneous Endoscopic Approach Destruction of Left Ureter, Percutaneous Endoscopic Approach
59715 0T577ZZ 1 Destruction of Left Ureter, Via Opening                      Destruction of Left Ureter, Via Natural or Artificial Opening
59716 0T578ZZ 1 Destruction of Left Ureter, Endo                             Destruction of Left Ureter, Via Natural or Artificial Opening Endoscopic
59717 0T5B0ZZ 1 Destruction of Bladder, Open Approach                        Destruction of Bladder, Open Approach
59718 0T5B3ZZ 1 Destruction of Bladder, Percutaneous Approach                Destruction of Bladder, Percutaneous Approach
59719 0T5B4ZZ 1 Destruction of Bladder, Percutaneous Endoscopic Approach     Destruction of Bladder, Percutaneous Endoscopic Approach
59720 0T5B7ZZ 1 Destruction of Bladder, Via Natural or Artificial Opening    Destruction of Bladder, Via Natural or Artificial Opening
59721 0T5B8ZZ 1 Destruction of Bladder, Endo                                 Destruction of Bladder, Via Natural or Artificial Opening Endoscopic
59722 0T5C0ZZ 1 Destruction of Bladder Neck, Open Approach                   Destruction of Bladder Neck, Open Approach
59723 0T5C3ZZ 1 Destruction of Bladder Neck, Percutaneous Approach           Destruction of Bladder Neck, Percutaneous Approach
59724 0T5C4ZZ 1 Destruction of Bladder Neck, Perc Endo Approach              Destruction of Bladder Neck, Percutaneous Endoscopic Approach
59725 0T5C7ZZ 1 Destruction of Bladder Neck, Via Opening                     Destruction of Bladder Neck, Via Natural or Artificial Opening
59726 0T5C8ZZ 1 Destruction of Bladder Neck, Endo                            Destruction of Bladder Neck, Via Natural or Artificial Opening Endoscopic
59727 0T5D0ZZ 1 Destruction of Urethra, Open Approach                        Destruction of Urethra, Open Approach
59728 0T5D3ZZ 1 Destruction of Urethra, Percutaneous Approach                Destruction of Urethra, Percutaneous Approach
59729 0T5D4ZZ 1 Destruction of Urethra, Percutaneous Endoscopic Approach     Destruction of Urethra, Percutaneous Endoscopic Approach
59730 0T5D7ZZ 1 Destruction of Urethra, Via Natural or Artificial Opening    Destruction of Urethra, Via Natural or Artificial Opening
59731 0T5D8ZZ 1 Destruction of Urethra, Endo                                 Destruction of Urethra, Via Natural or Artificial Opening Endoscopic
59732 0T5DXZZ 1 Destruction of Urethra, External Approach                    Destruction of Urethra, External Approach
59733 0T7     0 Urinary System, Dilation                                     Urinary System, Dilation
59734 0T730DZ 1 Dilation of R Kidney Pelvis with Intralum Dev, Open Approach Dilation of Right Kidney Pelvis with Intraluminal Device, Open Approach
59735 0T730ZZ 1 Dilation of Right Kidney Pelvis, Open Approach               Dilation of Right Kidney Pelvis, Open Approach
59736 0T733DZ 1 Dilation of R Kidney Pelvis with Intralum Dev, Perc Approach Dilation of Right Kidney Pelvis with Intraluminal Device, Percutaneous Approach
59737 0T733ZZ 1 Dilation of Right Kidney Pelvis, Percutaneous Approach       Dilation of Right Kidney Pelvis, Percutaneous Approach
59738 0T734DZ 1 Dilate R Kidney Pelvis w Intralum Dev, Perc Endo             Dilation of Right Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach
59739 0T734ZZ 1 Dilation of Right Kidney Pelvis, Perc Endo Approach          Dilation of Right Kidney Pelvis, Percutaneous Endoscopic Approach
59740 0T737DZ 1 Dilation of R Kidney Pelvis with Intralum Dev, Via Opening   Dilation of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening
59741 0T737ZZ 1 Dilation of Right Kidney Pelvis, Via Opening                 Dilation of Right Kidney Pelvis, Via Natural or Artificial Opening
59742 0T738DZ 1 Dilation of Right Kidney Pelvis with Intralum Dev, Endo      Dilation of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59743 0T738ZZ 1 Dilation of Right Kidney Pelvis, Endo                        Dilation of Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic
59744 0T740DZ 1 Dilation of L Kidney Pelvis with Intralum Dev, Open Approach Dilation of Left Kidney Pelvis with Intraluminal Device, Open Approach
59745 0T740ZZ 1 Dilation of Left Kidney Pelvis, Open Approach                Dilation of Left Kidney Pelvis, Open Approach
59746 0T743DZ 1 Dilation of L Kidney Pelvis with Intralum Dev, Perc Approach Dilation of Left Kidney Pelvis with Intraluminal Device, Percutaneous Approach
59747 0T743ZZ 1 Dilation of Left Kidney Pelvis, Percutaneous Approach        Dilation of Left Kidney Pelvis, Percutaneous Approach
59748 0T744DZ 1 Dilate L Kidney Pelvis w Intralum Dev, Perc Endo             Dilation of Left Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach
59749 0T744ZZ 1 Dilation of Left Kidney Pelvis, Perc Endo Approach           Dilation of Left Kidney Pelvis, Percutaneous Endoscopic Approach
59750 0T747DZ 1 Dilation of L Kidney Pelvis with Intralum Dev, Via Opening   Dilation of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening
59751 0T747ZZ 1 Dilation of Left Kidney Pelvis, Via Opening                  Dilation of Left Kidney Pelvis, Via Natural or Artificial Opening
59752 0T748DZ 1 Dilation of Left Kidney Pelvis with Intralum Dev, Endo       Dilation of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59753 0T748ZZ 1 Dilation of Left Kidney Pelvis, Endo                         Dilation of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic
59754 0T760DZ 1 Dilation of Right Ureter with Intralum Dev, Open Approach    Dilation of Right Ureter with Intraluminal Device, Open Approach
59755 0T760ZZ 1 Dilation of Right Ureter, Open Approach                      Dilation of Right Ureter, Open Approach
59756 0T763DZ 1 Dilation of Right Ureter with Intralum Dev, Perc Approach    Dilation of Right Ureter with Intraluminal Device, Percutaneous Approach
59757 0T763ZZ 1 Dilation of Right Ureter, Percutaneous Approach              Dilation of Right Ureter, Percutaneous Approach
59758 0T764DZ 1 Dilation of R Ureter with Intralum Dev, Perc Endo Approach   Dilation of Right Ureter with Intraluminal Device, Percutaneous Endoscopic Approach
59759 0T764ZZ 1 Dilation of Right Ureter, Percutaneous Endoscopic Approach   Dilation of Right Ureter, Percutaneous Endoscopic Approach
59760 0T767DZ 1 Dilation of Right Ureter with Intralum Dev, Via Opening      Dilation of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening
59761 0T767ZZ 1 Dilation of Right Ureter, Via Natural or Artificial Opening  Dilation of Right Ureter, Via Natural or Artificial Opening
59762 0T768DZ 1 Dilation of Right Ureter with Intraluminal Device, Endo      Dilation of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59763 0T768ZZ 1 Dilation of Right Ureter, Endo                               Dilation of Right Ureter, Via Natural or Artificial Opening Endoscopic
59764 0T770DZ 1 Dilation of Left Ureter with Intralum Dev, Open Approach     Dilation of Left Ureter with Intraluminal Device, Open Approach
59765 0T770ZZ 1 Dilation of Left Ureter, Open Approach                       Dilation of Left Ureter, Open Approach
59766 0T773DZ 1 Dilation of Left Ureter with Intralum Dev, Perc Approach     Dilation of Left Ureter with Intraluminal Device, Percutaneous Approach
59767 0T773ZZ 1 Dilation of Left Ureter, Percutaneous Approach               Dilation of Left Ureter, Percutaneous Approach
59768 0T774DZ 1 Dilation of L Ureter with Intralum Dev, Perc Endo Approach   Dilation of Left Ureter with Intraluminal Device, Percutaneous Endoscopic Approach
59769 0T774ZZ 1 Dilation of Left Ureter, Percutaneous Endoscopic Approach    Dilation of Left Ureter, Percutaneous Endoscopic Approach
59770 0T777DZ 1 Dilation of Left Ureter with Intralum Dev, Via Opening       Dilation of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening
59771 0T777ZZ 1 Dilation of Left Ureter, Via Natural or Artificial Opening   Dilation of Left Ureter, Via Natural or Artificial Opening
59772 0T778DZ 1 Dilation of Left Ureter with Intraluminal Device, Endo       Dilation of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59773 0T778ZZ 1 Dilation of Left Ureter, Endo                                Dilation of Left Ureter, Via Natural or Artificial Opening Endoscopic
59774 0T780DZ 1 Dilation of Bi Ureter with Intralum Dev, Open Approach       Dilation of Bilateral Ureters with Intraluminal Device, Open Approach
59775 0T780ZZ 1 Dilation of Bilateral Ureters, Open Approach                 Dilation of Bilateral Ureters, Open Approach
59776 0T783DZ 1 Dilation of Bi Ureter with Intralum Dev, Perc Approach       Dilation of Bilateral Ureters with Intraluminal Device, Percutaneous Approach
59777 0T783ZZ 1 Dilation of Bilateral Ureters, Percutaneous Approach         Dilation of Bilateral Ureters, Percutaneous Approach
59778 0T784DZ 1 Dilation of Bi Ureter with Intralum Dev, Perc Endo Approach  Dilation of Bilateral Ureters with Intraluminal Device, Percutaneous Endoscopic Approach
59779 0T784ZZ 1 Dilation of Bilateral Ureters, Perc Endo Approach            Dilation of Bilateral Ureters, Percutaneous Endoscopic Approach
59780 0T787DZ 1 Dilation of Bilateral Ureters with Intralum Dev, Via Opening Dilation of Bilateral Ureters with Intraluminal Device, Via Natural or Artificial Opening
59781 0T787ZZ 1 Dilation of Bilateral Ureters, Via Opening                   Dilation of Bilateral Ureters, Via Natural or Artificial Opening
59782 0T788DZ 1 Dilation of Bilateral Ureters with Intraluminal Device, Endo Dilation of Bilateral Ureters with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59783 0T788ZZ 1 Dilation of Bilateral Ureters, Endo                          Dilation of Bilateral Ureters, Via Natural or Artificial Opening Endoscopic
59784 0T7B0DZ 1 Dilation of Bladder with Intraluminal Device, Open Approach  Dilation of Bladder with Intraluminal Device, Open Approach
59785 0T7B0ZZ 1 Dilation of Bladder, Open Approach                           Dilation of Bladder, Open Approach
59786 0T7B3DZ 1 Dilation of Bladder with Intraluminal Device, Perc Approach  Dilation of Bladder with Intraluminal Device, Percutaneous Approach
59787 0T7B3ZZ 1 Dilation of Bladder, Percutaneous Approach                   Dilation of Bladder, Percutaneous Approach
59788 0T7B4DZ 1 Dilation of Bladder with Intralum Dev, Perc Endo Approach    Dilation of Bladder with Intraluminal Device, Percutaneous Endoscopic Approach
59789 0T7B4ZZ 1 Dilation of Bladder, Percutaneous Endoscopic Approach        Dilation of Bladder, Percutaneous Endoscopic Approach
59790 0T7B7DZ 1 Dilation of Bladder with Intraluminal Device, Via Opening    Dilation of Bladder with Intraluminal Device, Via Natural or Artificial Opening
59791 0T7B7ZZ 1 Dilation of Bladder, Via Natural or Artificial Opening       Dilation of Bladder, Via Natural or Artificial Opening
59792 0T7B8DZ 1 Dilation of Bladder with Intraluminal Device, Endo           Dilation of Bladder with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59793 0T7B8ZZ 1 Dilation of Bladder, Endo                                    Dilation of Bladder, Via Natural or Artificial Opening Endoscopic
59794 0T7C0DZ 1 Dilation of Bladder Neck with Intralum Dev, Open Approach    Dilation of Bladder Neck with Intraluminal Device, Open Approach
59795 0T7C0ZZ 1 Dilation of Bladder Neck, Open Approach                      Dilation of Bladder Neck, Open Approach
59796 0T7C3DZ 1 Dilation of Bladder Neck with Intralum Dev, Perc Approach    Dilation of Bladder Neck with Intraluminal Device, Percutaneous Approach
59797 0T7C3ZZ 1 Dilation of Bladder Neck, Percutaneous Approach              Dilation of Bladder Neck, Percutaneous Approach
59798 0T7C4DZ 1 Dilate of Bladder Neck with Intralum Dev, Perc Endo Approach Dilation of Bladder Neck with Intraluminal Device, Percutaneous Endoscopic Approach
59799 0T7C4ZZ 1 Dilation of Bladder Neck, Percutaneous Endoscopic Approach   Dilation of Bladder Neck, Percutaneous Endoscopic Approach
59800 0T7C7DZ 1 Dilation of Bladder Neck with Intralum Dev, Via Opening      Dilation of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening
59801 0T7C7ZZ 1 Dilation of Bladder Neck, Via Natural or Artificial Opening  Dilation of Bladder Neck, Via Natural or Artificial Opening
59802 0T7C8DZ 1 Dilation of Bladder Neck with Intraluminal Device, Endo      Dilation of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59803 0T7C8ZZ 1 Dilation of Bladder Neck, Endo                               Dilation of Bladder Neck, Via Natural or Artificial Opening Endoscopic
59804 0T7D0DZ 1 Dilation of Urethra with Intraluminal Device, Open Approach  Dilation of Urethra with Intraluminal Device, Open Approach
59805 0T7D0ZZ 1 Dilation of Urethra, Open Approach                           Dilation of Urethra, Open Approach
59806 0T7D3DZ 1 Dilation of Urethra with Intraluminal Device, Perc Approach  Dilation of Urethra with Intraluminal Device, Percutaneous Approach
59807 0T7D3ZZ 1 Dilation of Urethra, Percutaneous Approach                   Dilation of Urethra, Percutaneous Approach
59808 0T7D4DZ 1 Dilation of Urethra with Intralum Dev, Perc Endo Approach    Dilation of Urethra with Intraluminal Device, Percutaneous Endoscopic Approach
59809 0T7D4ZZ 1 Dilation of Urethra, Percutaneous Endoscopic Approach        Dilation of Urethra, Percutaneous Endoscopic Approach
59810 0T7D7DZ 1 Dilation of Urethra with Intraluminal Device, Via Opening    Dilation of Urethra with Intraluminal Device, Via Natural or Artificial Opening
59811 0T7D7ZZ 1 Dilation of Urethra, Via Natural or Artificial Opening       Dilation of Urethra, Via Natural or Artificial Opening
59812 0T7D8DZ 1 Dilation of Urethra with Intraluminal Device, Endo           Dilation of Urethra with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
59813 0T7D8ZZ 1 Dilation of Urethra, Endo                                    Dilation of Urethra, Via Natural or Artificial Opening Endoscopic
59814 0T8     0 Urinary System, Division                                     Urinary System, Division
59815 0T820ZZ 1 Division of Bilateral Kidneys, Open Approach                 Division of Bilateral Kidneys, Open Approach
59816 0T823ZZ 1 Division of Bilateral Kidneys, Percutaneous Approach         Division of Bilateral Kidneys, Percutaneous Approach
59817 0T824ZZ 1 Division of Bilateral Kidneys, Perc Endo Approach            Division of Bilateral Kidneys, Percutaneous Endoscopic Approach
59818 0T8C0ZZ 1 Division of Bladder Neck, Open Approach                      Division of Bladder Neck, Open Approach
59819 0T8C3ZZ 1 Division of Bladder Neck, Percutaneous Approach              Division of Bladder Neck, Percutaneous Approach
59820 0T8C4ZZ 1 Division of Bladder Neck, Percutaneous Endoscopic Approach   Division of Bladder Neck, Percutaneous Endoscopic Approach
59821 0T9     0 Urinary System, Drainage                                     Urinary System, Drainage
59822 0T9000Z 1 Drainage of Right Kidney with Drainage Device, Open Approach Drainage of Right Kidney with Drainage Device, Open Approach
59823 0T900ZX 1 Drainage of Right Kidney, Open Approach, Diagnostic          Drainage of Right Kidney, Open Approach, Diagnostic
59824 0T900ZZ 1 Drainage of Right Kidney, Open Approach                      Drainage of Right Kidney, Open Approach
59825 0T9030Z 1 Drainage of Right Kidney with Drainage Device, Perc Approach Drainage of Right Kidney with Drainage Device, Percutaneous Approach
59826 0T903ZX 1 Drainage of Right Kidney, Percutaneous Approach, Diagnostic  Drainage of Right Kidney, Percutaneous Approach, Diagnostic
59827 0T903ZZ 1 Drainage of Right Kidney, Percutaneous Approach              Drainage of Right Kidney, Percutaneous Approach
59828 0T9040Z 1 Drainage of Right Kidney with Drain Dev, Perc Endo Approach  Drainage of Right Kidney with Drainage Device, Percutaneous Endoscopic Approach
59829 0T904ZX 1 Drainage of Right Kidney, Perc Endo Approach, Diagn          Drainage of Right Kidney, Percutaneous Endoscopic Approach, Diagnostic
59830 0T904ZZ 1 Drainage of Right Kidney, Percutaneous Endoscopic Approach   Drainage of Right Kidney, Percutaneous Endoscopic Approach
59831 0T9070Z 1 Drainage of Right Kidney with Drainage Device, Via Opening   Drainage of Right Kidney with Drainage Device, Via Natural or Artificial Opening
