celllabel,count,class
Volume (mL)-ceFEPIme (MAXIPIME) 2 g in dextrose 5 % 50 mL IVPB,2,
CL Flush: Coated Catheter IJ R,2,
Volume (mL)-dextrose 5 % in lactated ringers infusion,2,
Volume (mL)-magnesium sulfate IVPB 2 g 50 mL,2,
Enteral Tube Intake: Gastrostomy tube Abdominal wa,2,
Volume (mL)-dextrose 5 % and 0.45% NaCl infusion,2,
Volume (mL)-ciprofloxacin (CIPRO) IVPB 400 mg,2,
PRECEDEX,2,
Insulin Drip,2,
precedex,1,
Urinary Catheter Output: Straight/Intermittent Ure,1,
"Volume (mL)-vancomycin (VANCOCIN) 2,000 mg in sodium chloride 0.9 % 500 mL IVPB",1,
Volume (mL) Nicardipine,1,
NS for Blood Administration,1,
Volume (mL)-potassium phosphate 10 mmol in dextrose 5 % 250 mL infusion,1,
Volume (mL)-sodium phosphate 15 mmol in dextrose 5 % 250 mL IVPB,1,
Volume (mL)-doxycycline (VIBRAMYCIN) 100 mg in dextrose 5 % 250 mL IVPB,1,
Volume (mL)-ceFAZolin (ANCEF) IVPB 2 g/50 mL premix,1,
Volume (mL)-lactated ringers infusion 500 mL,1,
Volume (mL)-vancomycin (VANCOCIN) 500 mg in sodium chloride 0.9 % 100 mL IVPB,1,
Volume (mL)-calcium gluconate 1 g in sodium chloride 0.9 % 100 mL IVPB,1,
Gastric Tube Output: Orogastric Oral,1,
Volume (mL)-azithromycin (ZITHROMAX) 500 mg in dextrose 5 % 250 mL IVPB,1,
Volume (mL)-sodium chloride 0.9 % bolus 250 mL,1,
Cell Saver,1,
PO ice chips,1,
NS Bolus,1,
kcl,1,
Per IV Flush: Wrist L 22 gauge,1,
CL Flush: Pressure/power inj IJ ,1,
Enteral Tube Intake: Orogastric Oral 16,1,
Urinary Catheter Output: Condom External,1,
Variance ,1,
Enteral WATER FLUSH,1,
"Gastric Tube Output: Nasogastric Nostril, R",1,
5% Albumin 500 ml,1,
Volume (mL)-potassium chloride 20 MEQ/50ML IVPB premix 20 mEq,1,
Epi,1,
"CL Flush: Coated Catheter, Pressure/power inj IJ L",1,
SANDOSTATIN,1,
Nourish/Supplemt,1,
25% Albumin 100 ml,1,
EBL,1,
Misc. Output,1,
Volume (mL)-sodium phosphate 20 mmol in dextrose 5 % 250 mL IVPB,1,
Volume Infused (ml)-HYDROmorphone (DILAUDID) PCA 1 mg/mL,1,
"Volume (mL)-vancomycin in dextrose premix 1,000 mg",1,
Per IV Flush: Hand R 18 gauge,1,
Volume (mL)-cefTRIAXone (ROCEPHIN) 2 g in dextrose 5 % 50 mL IVPB,1,
Volume (mL)-ALBUMIN HUMAN 5 % IV SOLN Pyxis Override,1,
Volume (mL)-micafungin (MYCAMINE) 100 mg in sodium chloride 0.9 % 100 mL IVPB,1,
Volume (ml) Alteplase,1,
Volume (mL)-calcium gluconate 2 g in dextrose 5 % 50 mL IVPB,1,
Volume (ml) Dobutamine,1,
Volume (ml) Esmolol,1,
OTHER,1,
Output (ml)-Ostomy - GI Colostomy LLQ,1,
"Volume (mL)-vancomycin 1,500 mg in sodium chloride 0.9% 250 mL IVPB",1,
Output (mL)-[REMOVED] Straight Catheter,1,
"Volume (mL)-lactated ringers bolus 1,000 mL",1,
Drainage Output Amount1,1,
25% Albumin,1,
Albumin 25%,1,
Volume (mL)-potassium chloride 20 MEQ/50ML IVPB premix 40 mEq,1,
